Número do Processo,Localização Atual,Foro,Vara,Controle,Classe,Assunto,Distribuição,reu_preso,Relatório Final,Denúncia,Defesa Prévia,Razões de Apelação,Contrarrazões de Apelação,Sigilo,e-SAJ
1507590-22.2024.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001271,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,2024-11-27,False,2025-06-02,2025-07-10,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VF5E0000&processo.numero=1507590-22.2024.8.26.0451
1507567-76.2024.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001391,Ação Penal - Procedimento Ordinário,Violação sexual mediante fraude,2024-12-12,False,2025-06-03,2025-06-09,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VF240000&processo.numero=1507567-76.2024.8.26.0451
1507509-73.2024.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001231,Ação Penal - Procedimento Ordinário,Roubo Majorado,2024-11-19,False,2026-01-27,2026-01-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VETF0000&processo.numero=1507509-73.2024.8.26.0451
1507515-80.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001294,Ação Penal - Procedimento Ordinário,Falsidade ideológica,2024-11-19,False,2025-04-30,2025-05-05,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VETP0000&processo.numero=1507515-80.2024.8.26.0451
1507517-50.2024.8.26.0451,13º Promotor de Justiça de Piracicaba,Foro de Piracicaba,Vara do Juizado Especial Cível e Criminal,2024/004094,Ação Penal - Procedimento Sumaríssimo,Leve,2024-11-19,False,,2025-09-19,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VETW0000&processo.numero=1507517-50.2024.8.26.0451
1507520-05.2024.8.26.0451,13º Promotor de Justiça de Piracicaba,Foro de Piracicaba,Vara do Juizado Especial Cível e Criminal,2024/004099,Termo Circunstanciado,Ameaça,2024-11-19,False,,2026-04-10,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VEUK0000&processo.numero=1507520-05.2024.8.26.0451
1507500-14.2024.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001290,Ação Penal - Procedimento Ordinário,Estelionato,2024-11-18,False,2025-03-06,2025-04-22,2025-05-21,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VERR0000&processo.numero=1507500-14.2024.8.26.0451
1507490-67.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001284,Ação Penal - Procedimento Ordinário,Estupro de vulnerável,2024-11-17,False,2024-11-17,2026-03-24,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VEOM0000&processo.numero=1507490-67.2024.8.26.0451
1501891-91.2024.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001282,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2024-11-17,False,2025-07-03,2025-07-02,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004EUC0000&processo.numero=1501891-91.2024.8.26.0599
1507386-75.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001258,Ação Penal - Procedimento Ordinário,Adulteração de Sinal Identificador de Veículo Automotor,2024-11-07,False,2025-03-21,2025-03-26,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VDU50000&processo.numero=1507386-75.2024.8.26.0451
1507388-45.2024.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001259,Ação Penal - Procedimento Ordinário,Furto,2024-11-07,False,2025-06-26,2025-09-30,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VDU80000&processo.numero=1507388-45.2024.8.26.0451
1501850-27.2024.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001254,Ação Penal - Procedimento Sumário,Ameaça,2024-11-07,False,2024-11-08,2025-05-15,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004ESP0000&processo.numero=1501850-27.2024.8.26.0599
1507358-10.2024.8.26.0451,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001177,Ação Penal - Procedimento Ordinário,Estupro de vulnerável,2024-11-06,False,2024-11-18,2025-10-16,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VDQP0000&processo.numero=1507358-10.2024.8.26.0451
1507238-64.2024.8.26.0451,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001149,Ação Penal - Procedimento Ordinário,Crimes do Sistema Nacional de Armas,2024-10-31,False,2025-06-27,2025-07-04,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VD4E0000&processo.numero=1507238-64.2024.8.26.0451
1507272-39.2024.8.26.0451,13º Promotor de Justiça de Piracicaba,Foro de Piracicaba,Vara do Juizado Especial Cível e Criminal,2024/003881,Ação Penal - Procedimento Sumaríssimo,Crimes de Trânsito,2024-10-31,False,,2025-04-28,,2026-02-25,2026-02-27,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VD7W0000&processo.numero=1507272-39.2024.8.26.0451
1507231-72.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001226,Ação Penal - Procedimento Ordinário,Furto,2024-10-30,False,2025-09-09,2025-09-26,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VD2M0000&processo.numero=1507231-72.2024.8.26.0451
1501799-16.2024.8.26.0599,13º Promotor de Justiça de Piracicaba,Foro de Piracicaba,Vara do Juizado Especial Cível e Criminal,2024/004350,Inquérito Policial,Posse de Drogas para Consumo Pessoal,2024-12-10,False,2024-11-26,2025-07-01,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004EQL0000&processo.numero=1501799-16.2024.8.26.0599
1507170-17.2024.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001161,Ação Penal - Procedimento Ordinário,Estelionato,2024-10-28,False,2024-12-16,2025-07-30,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VCRA0000&processo.numero=1507170-17.2024.8.26.0451
1501773-18.2024.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001127,Ação Penal - Procedimento Ordinário,Furto Qualificado,2024-10-25,False,2024-11-22,2025-07-04,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004EPN0000&processo.numero=1501773-18.2024.8.26.0599
1507130-35.2024.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001209,Ação Penal - Procedimento Ordinário,Furto,2024-10-25,False,2025-11-07,2025-11-11,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VCJO0000&processo.numero=1507130-35.2024.8.26.0451
1507132-05.2024.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001155,Ação Penal - Procedimento Ordinário,Roubo,2024-10-25,False,2025-02-20,2025-02-21,,2025-11-15,2025-12-03,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VCL60000&processo.numero=1507132-05.2024.8.26.0451
1507160-70.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001215,Ação Penal - Procedimento Ordinário,Furto,2024-10-25,False,2025-11-18,2025-11-18,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VCNX0000&processo.numero=1507160-70.2024.8.26.0451
1507107-89.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001195,Ação Penal - Procedimento Ordinário,Furto Qualificado,2024-10-24,False,2025-03-27,2025-03-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VCG30000&processo.numero=1507107-89.2024.8.26.0451
1507109-59.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001196,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,2024-10-24,False,2025-05-21,2025-06-05,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VCG60000&processo.numero=1507109-59.2024.8.26.0451
1507122-58.2024.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001153,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2024-10-24,False,2025-09-09,2025-09-15,2025-10-16,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VCHI0000&processo.numero=1507122-58.2024.8.26.0451
1507125-13.2024.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001122,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2024-10-24,False,2025-04-29,2025-05-05,2025-07-07,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VCIY0000&processo.numero=1507125-13.2024.8.26.0451
1507057-63.2024.8.26.0451,1º Promotor de Justiça Auxiliar de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001133,Ação Penal - Procedimento Ordinário,Receptação,2024-10-23,False,2025-02-25,2025-02-25,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VC6H0000&processo.numero=1507057-63.2024.8.26.0451
1507063-70.2024.8.26.0451,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001182,Ação Penal - Procedimento Ordinário,Maus Tratos,2024-10-23,False,2025-02-17,2025-02-21,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VC8Y0000&processo.numero=1507063-70.2024.8.26.0451
1507070-62.2024.8.26.0451,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001107,Ação Penal - Procedimento Ordinário,Furto,2024-10-23,False,2025-03-07,2025-09-16,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VC9W0000&processo.numero=1507070-62.2024.8.26.0451
1507095-75.2024.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001112,Ação Penal - Procedimento Ordinário,Furto,2024-10-23,False,2025-02-20,2025-03-02,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VCD40000&processo.numero=1507095-75.2024.8.26.0451
1507037-72.2024.8.26.0451,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001099,Ação Penal - Procedimento Ordinário,Furto,2024-10-22,False,2025-03-06,2025-09-16,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VC230000&processo.numero=1507037-72.2024.8.26.0451
1507040-27.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001184,Ação Penal - Procedimento Ordinário,Roubo,2024-10-22,False,2025-02-24,2025-02-24,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VC240000&processo.numero=1507040-27.2024.8.26.0451
1507042-94.2024.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001100,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,2024-10-22,False,2025-02-25,2025-10-16,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VC2A0000&processo.numero=1507042-94.2024.8.26.0451
1501739-43.2024.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001097,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2024-10-21,False,2024-10-23,2025-12-12,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004EOE0000&processo.numero=1501739-43.2024.8.26.0599
1501719-52.2024.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001087,Ação Penal - Procedimento Ordinário,Estelionato,2024-10-19,False,2024-10-31,2025-07-15,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004ENS0000&processo.numero=1501719-52.2024.8.26.0599
1506941-57.2024.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001095,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2024-10-16,False,2025-03-27,2025-03-27,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VBEX0000&processo.numero=1506941-57.2024.8.26.0451
1506944-12.2024.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001161,Ação Penal - Procedimento Ordinário,Roubo,2024-10-16,False,2025-02-18,2025-02-19,,2026-05-04,2026-05-06,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VBF00000&processo.numero=1506944-12.2024.8.26.0451
1506947-64.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001146,Ação Penal - Procedimento Ordinário,Roubo Majorado,2024-10-16,False,2025-02-18,2025-02-20,2025-04-11,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VBF30000&processo.numero=1506947-64.2024.8.26.0451
1506948-49.2024.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001097,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2024-10-16,False,2025-05-29,2025-05-30,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VBF40000&processo.numero=1506948-49.2024.8.26.0451
1506953-71.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001147,Ação Penal - Procedimento Sumário,Decorrente de Violência Doméstica,2024-10-16,False,2025-05-29,2025-06-02,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VBFB0000&processo.numero=1506953-71.2024.8.26.0451
1506960-63.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001148,Ação Penal - Procedimento Ordinário,Estelionato,2024-10-16,False,2025-09-26,2025-12-03,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VBFK0000&processo.numero=1506960-63.2024.8.26.0451
1506964-03.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001166,Ação Penal - Procedimento Ordinário,Apropriação indébita,2024-10-16,False,2025-02-14,2025-12-10,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VBFX0000&processo.numero=1506964-03.2024.8.26.0451
1506981-39.2024.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001105,Ação Penal - Procedimento Ordinário,Furto,2024-10-16,False,2025-05-15,2025-05-16,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VBJP0000&processo.numero=1506981-39.2024.8.26.0451
1501673-63.2024.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001053,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2024-10-13,False,2024-10-21,2025-08-01,2025-11-06,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004EM90000&processo.numero=1501673-63.2024.8.26.0599
1506847-12.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001134,Ação Penal - Procedimento Ordinário,Adulteração de Sinal Identificador de Veículo Automotor,2024-10-10,False,2025-02-04,2025-02-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAUY0000&processo.numero=1506847-12.2024.8.26.0451
1506853-19.2024.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001071,Ação Penal - Procedimento Sumário,Decorrente de Violência Doméstica,2024-10-10,False,2025-06-04,2025-06-04,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAV90000&processo.numero=1506853-19.2024.8.26.0451
1506854-04.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001136,Ação Penal - Procedimento Ordinário,Receptação,2024-10-10,False,2025-01-31,2025-05-12,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAVC0000&processo.numero=1506854-04.2024.8.26.0451
1506861-93.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001117,Ação Penal - Procedimento Ordinário,Importunação Sexual,2024-10-10,False,2025-02-24,2025-05-15,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAVY0000&processo.numero=1506861-93.2024.8.26.0451
1506862-78.2024.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001042,Ação Penal - Procedimento Ordinário,Ameaça,2024-10-10,False,2025-08-28,2025-08-28,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAVZ0000&processo.numero=1506862-78.2024.8.26.0451
1506865-33.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001118,Ação Penal - Procedimento Sumário,Vias de fato,2024-10-10,False,2025-09-22,2025-09-23,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAWG0000&processo.numero=1506865-33.2024.8.26.0451
1506871-40.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001166,Ação Penal - Procedimento Sumário,Injúria,2024-10-21,False,,2026-02-12,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAZI0000&processo.numero=1506871-40.2024.8.26.0451
1506817-74.2024.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001034,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2024-10-09,False,2025-07-30,2025-08-01,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAPK0000&processo.numero=1506817-74.2024.8.26.0451
1506818-59.2024.8.26.0451,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001104,Ação Penal - Procedimento Sumário,Decorrente de Violência Doméstica,2024-10-09,False,2025-04-11,2025-04-14,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAPL0000&processo.numero=1506818-59.2024.8.26.0451
1506820-29.2024.8.26.0451,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001035,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2024-10-09,False,2025-02-21,2025-07-15,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAPN0000&processo.numero=1506820-29.2024.8.26.0451
1506827-21.2024.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001130,Ação Penal - Procedimento Ordinário,Estupro de vulnerável,2024-10-09,False,2025-07-30,2025-07-31,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAQ40000&processo.numero=1506827-21.2024.8.26.0451
1506831-58.2024.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001131,Ação Penal - Procedimento Ordinário,Importunação Sexual,2024-10-09,False,2025-07-30,2025-07-31,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAQB0000&processo.numero=1506831-58.2024.8.26.0451
1506792-61.2024.8.26.0451,13º Promotor de Justiça de Piracicaba,Foro de Piracicaba,Vara do Juizado Especial Cível e Criminal,2024/003533,Ação Penal - Procedimento Sumaríssimo,Ameaça,2024-10-08,False,,2025-04-22,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAKI0000&processo.numero=1506792-61.2024.8.26.0451
1506795-16.2024.8.26.0451,1º Promotor de Justiça Auxiliar de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2024/001063,Ação Penal - Procedimento Ordinário,Roubo,2024-10-08,False,2025-03-17,2025-06-25,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VALY0000&processo.numero=1506795-16.2024.8.26.0451
1506804-75.2024.8.26.0451,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001101,Ação Penal - Procedimento Ordinário,Adulteração de Sinal Identificador de Veículo Automotor,2024-10-08,False,2025-05-27,2025-06-01,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAND0000&processo.numero=1506804-75.2024.8.26.0451
1506768-33.2024.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000790,Ação Penal - Procedimento Sumário,Ameaça,2025-06-02,False,,2025-03-28,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAG10000&processo.numero=1506768-33.2024.8.26.0451
1506777-92.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001126,Ação Penal - Procedimento Ordinário,Roubo,2024-10-07,False,2025-04-10,2026-05-08,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAGV0000&processo.numero=1506777-92.2024.8.26.0451
1506781-32.2024.8.26.0451,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000592,Ação Penal - Procedimento Sumário,Leve,2025-05-13,False,,2025-05-08,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAH20000&processo.numero=1506781-32.2024.8.26.0451
1506762-26.2024.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001121,Ação Penal - Procedimento Ordinário,Furto,2024-10-05,False,2026-05-15,2026-05-16,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VAE20000&processo.numero=1506762-26.2024.8.26.0451
1506729-36.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001086,Ação Penal - Procedimento Sumário,Crimes do Sistema Nacional de Armas,2024-10-04,False,2025-01-07,2026-03-23,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000VA8W0000&processo.numero=1506729-36.2024.8.26.0451
1506659-19.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001067,Ação Penal - Procedimento Ordinário,Apropriação indébita,2024-10-02,False,2025-01-17,2026-02-13,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000V9XN0000&processo.numero=1506659-19.2024.8.26.0451
1506661-86.2024.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001099,Ação Penal - Procedimento Ordinário,Furto,2024-10-02,False,2025-04-29,2025-04-30,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000V9XP0000&processo.numero=1506661-86.2024.8.26.0451
1506687-84.2024.8.26.0451,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/001007,Ação Penal - Procedimento Ordinário,Denunciação caluniosa,2024-10-02,False,2025-06-24,2026-03-06,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000V9Z30000&processo.numero=1506687-84.2024.8.26.0451
1506600-31.2024.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2024/001057,Ação Penal - Procedimento Ordinário,Furto,2024-09-30,False,2026-05-19,2026-05-25,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000V9OD0000&processo.numero=1506600-31.2024.8.26.0451
1506538-88.2024.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2024/000974,Ação Penal - Procedimento Ordinário,Grave,2024-09-27,False,2025-03-28,2025-03-28,,2026-04-16,2026-05-21,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000V9F90000&processo.numero=1506538-88.2024.8.26.0451
1501583-55.2024.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/001385,Procedimento Especial da Lei Antitóxicos,Posse de Drogas para Consumo Pessoal,2025-10-08,False,2024-10-24,2025-09-22,2025-11-12,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004EIK0000&processo.numero=1501583-55.2024.8.26.0599
1506488-62.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001068,Ação Penal - Procedimento Ordinário,Leve,2024-09-25,False,2025-02-24,2025-02-25,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000V9610000&processo.numero=1506488-62.2024.8.26.0451
1501571-41.2024.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001070,Ação Penal - Procedimento Ordinário,"Intolerância e/ou Injúria Racial, de Cor e/ou Etnia",2024-09-26,False,2024-10-01,2026-03-09,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004EI20000&processo.numero=1501571-41.2024.8.26.0599
1506386-40.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001055,Ação Penal - Procedimento Sumário,Ameaça,2024-09-24,False,2025-02-21,2025-09-10,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000V8QZ0000&processo.numero=1506386-40.2024.8.26.0451
1506391-62.2024.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2024/001057,Ação Penal - Procedimento Ordinário,Leve,2024-09-24,False,2025-02-21,2025-02-21,,2026-04-26,2026-05-05,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000V8R40000&processo.numero=1506391-62.2024.8.26.0451
